Date,Time,Host,Result,Guest,Audience,MVP
01.10.2021,20:30,LUK Lublin,"1:3 (15:25, 21:25, 25:21, 16:25)",Jastrzębski Węgiel,3482,Tomasz Fornal
02.10.2021,14:45,Indykpol AZS Olsztyn,"0:3 (22:25, 18:25, 20:25)",Asseco Resovia Rzeszów,1499,Fabian Drzyzga
02.10.2021,17:30,Stal Nysa,"0:3 (22:25, 21:25, 20:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,1900,Kamil Semeniuk
03.10.2021,14:45,Aluron CMC Warta Zawiercie,"3:1 (25:23, 23:25, 25:23, 25:21)",Ślepsk Malow Suwałki,1500,Uroš Kovačević
03.10.2021,17:30,GKS Katowice,"3:2 (25:20, 25:20, 19:25, 21:25, 15:12)",Trefl Gdańsk,496,Micah Maʻa
03.10.2021,20:30,Cerrad Enea Czarni Radom,"0:3 (16:25, 17:25, 23:25)",Projekt Warszawa,1200,Bartosz Kwolek
04.10.2021,20:30,Cuprum Lubin,"1:3 (22:25, 19:25, 25:22, 25:27)",PGE Skra Bełchatów,786,Dick Kooy
08.10.2021,17:30,Jastrzębski Węgiel,"3:0 (25:18, 25:20, 25:19)",Stal Nysa,1116,Tomasz Fornal
08.10.2021,20:30,Projekt Warszawa,"3:1 (18:25, 25:17, 25:17, 31:29)",Cuprum Lubin,1610,Bartosz Kwolek
09.10.2021,14:45,Cerrad Enea Czarni Radom,"0:3 (20:25, 16:25, 17:25)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,1200,David Smith
09.10.2021,17:30,GKS Katowice,"3:0 (25:22, 25:22, 25:23)",Asseco Resovia Rzeszów,621,Jakub Jarosz
09.10.2021,20:30,Ślepsk Malow Suwałki,"3:0 (25:19, 25:16, 25:22)",LUK Lublin,1100,Bartłomiej Bołądź
10.10.2021,14:45,Trefl Gdańsk,"1:3 (25:21, 18:25, 22:25, 22:25)",Aluron CMC Warta Zawiercie,4250,Uroš Kovačević
10.10.2021,17:30,PGE Skra Bełchatów,"3:2 (25:16, 25:22, 23:25, 17:25, 15:10)",Indykpol AZS Olsztyn,1138,Aleksandar Atanasijević
15.10.2021,20:30,Projekt Warszawa,"3:2 (20:25, 25:21, 19:25, 32:30, 22:20)",Jastrzębski Węgiel,3012,Ángel Trinidad de Haro
16.10.2021,14:45,Aluron CMC Warta Zawiercie,"3:1 (21:25, 25:20, 25:19, 25:21)",GKS Katowice,1392,Piotr Orczyk
16.10.2021,17:30,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:0 (25:22, 25:13, 25:19)",LUK Lublin,1500,Norbert Huber
16.10.2021,20:30,PGE Skra Bełchatów,"3:2 (25:17, 19:25, 25:23, 21:25, 20:18)",Stal Nysa,598,Mateusz Bieniek
17.10.2021,14:45,Asseco Resovia Rzeszów,"3:0 (25:23, 26:24, 25:14)",Cerrad Enea Czarni Radom,2800,Klemen Čebulj
17.10.2021,17:30,Trefl Gdańsk,"3:0 (25:23, 25:15, 25:15)",Cuprum Lubin,3100,Lukas Kampa
17.10.2021,20:30,Ślepsk Malow Suwałki,"0:3 (29:31, 21:25, 26:28)",Indykpol AZS Olsztyn,1326,Torey Defalco
22.10.2021,20:30,LUK Lublin,"3:0 (25:19, 26:24, 25:22)",GKS Katowice,2173,Bartosz Filipiak
23.10.2021,14:45,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"3:2 (25:27, 25:18, 14:25, 25:18, 15:9)",Projekt Warszawa,1450,Łukasz Kaczmarek
23.10.2021,17:30,Cerrad Enea Czarni Radom,"3:1 (25:19, 20:25, 31:29, 26:24)",Trefl Gdańsk,1000,Paweł Rusin
23.10.2021,20:30,Stal Nysa,"1:3 (21:25, 25:17, 21:25, 18:25)",Asseco Resovia Rzeszów,1878,Klemen Čebulj
24.10.2021,14:45,Jastrzębski Węgiel,"3:1 (25:18, 25:20, 17:25, 25:18)",PGE Skra Bełchatów,1500,Benjamin Toniutti
24.10.2021,17:30,Indykpol AZS Olsztyn,"3:0 (25:18, 25:20, 25:23)",Aluron CMC Warta Zawiercie,1250,Karol Butryn
25.10.2021,20:30,Cuprum Lubin,"3:0 (25:18, 25:22, 25:22)",Ślepsk Malow Suwałki,345,Masahiro Sekita
28.10.2021,17:30,Aluron CMC Warta Zawiercie,"3:2 (25:20, 24:26, 17:25, 25:22, 15:11)",Cuprum Lubin,1468,Facundo Conte
29.10.2021,20:30,Projekt Warszawa,"3:1 (29:31, 25:19, 25:22, 25:19)",LUK Lublin,1228,Dušan Petković
30.10.2021,14:45,PGE Skra Bełchatów,"2:3 (26:24, 29:27, 23:25, 19:25, 12:15)",Grupa Azoty ZAKSA Kędzierzyn-Koźle,1362,Łukasz Kaczmarek
30.10.2021,17:30,Trefl Gdańsk,"3:0 (25:22, 25:19, 25:21)",Stal Nysa,1900,Kewin Sasak
30.10.2021,20:30,Ślepsk Malow Suwałki,"1:3 (26:28, 25:23, 27:29, 23:25)",Cerrad Enea Czarni Radom,1200,Bartłomiej Lemański
31.10.2021,14:45,Asseco Resovia Rzeszów,"0:3 (23:25, 21:25, 18:25)",Jastrzębski Węgiel,3700,Stéphen Boyer
