Date,Time,Host,Result,Guest,Audience,MVP
29.09.2017,18:00,Cuprum Lubin,"3:0 (25:19, 27:25, 25:12)",MKS Będzin,1556,Michal Masný
30.09.2017,14:45,Indykpol AZS Olsztyn,"3:1 (25:22, 25:18, 20:25, 25:20)",Espadon Szczecin,1800,Jan Hadrava
30.09.2017,17:00,Asseco Resovia Rzeszów,"3:0 (25:20, 25:16, 25:22)",Dafi Społem Kielce,3642,Aleksander Śliwka
30.09.2017,17:00,Czarni Radom,"1:3 (15:25, 16:25, 25:19, 23:25)",GKS Katowice,1300,Marcin Komenda
01.10.2017,15:00,Łuczniczka Bydgoszcz,"0:3 (22:25, 18:25, 18:25)",Onico Warszawa,2120,Wojciech Włodarczyk
01.10.2017,20:00,Aluron Virtu Warta Zawiercie,"1:3 (23:25, 25:18, 24:26, 15:25)",ZAKSA Kędzierzyn-Koźle,1500,Benjamin Toniutti
25.10.2017,18:00,Jastrzębski Węgiel,"3:0 (25:16, 25:21, 25:18)",BBTS Bielsko-Biała,1617,Jason De Rocco
22.11.2017,18:00,PGE Skra Bełchatów,"3:0 (25:23, 25:18, 25:20)",Trefl Gdańsk,2165,Milad Ebadipur
04.10.2017,18:00,Dafi Społem Kielce,"0:3 (10:25, 19:25, 18:25)",Indykpol AZS Olsztyn,1100,Paweł Woicki
04.10.2017,18:00,Espadon Szczecin,"2:3 (22:25, 25:17, 23:25, 31:29, 13:15)",Cuprum Lubin,620,Łukasz Kaczmarek
04.10.2017,18:30,BBTS Bielsko-Biała,"1:3 (23:25, 25:16, 25:27, 18:25)",Asseco Resovia Rzeszów,1000,Jakub Jarosz
04.10.2017,18:30,Trefl Gdańsk,"3:2 (25:20, 17:25, 25:18, 23:25, 15:9)",Onico Warszawa,2700,Piotr Nowakowski
04.10.2017,19:00,MKS Będzin,"1:3 (20:25, 21:25, 26:24, 18:25)",Czarni Radom,1150,Dmytro Teriomenko
